,Unnamed: 0,Season,TeamName,RPI
0,0,2000,Duke,0.67
1,1,2000,Kansas,0.657
2,2,2000,Virginia,0.655
3,3,2000,North Carolina,0.653
4,4,2000,Houston,0.648
5,5,2000,Michigan St,0.647
6,6,2000,Tennessee,0.645
7,7,2000,Gonzaga,0.644
8,8,2000,Kentucky,0.643
9,9,2000,Buffalo,0.6409999999999999
10,10,2000,Michigan,0.635
11,11,2000,Florida St,0.634
12,12,2000,Cincinnati,0.628
13,13,2000,LSU,0.626
14,14,2000,Purdue,0.62
15,15,2000,Villanova,0.62
16,16,2000,Kansas St,0.62
17,17,2000,Auburn,0.619
18,18,2000,Texas Tech,0.619
19,19,2000,Nevada,0.615
20,20,2000,Wofford,0.613
21,21,2000,Washington,0.609
22,22,2000,VA Commonwealth,0.609
23,23,2000,Mississippi St,0.608
24,24,2000,UCF,0.605
25,25,2000,Wisconsin,0.605
26,26,2000,Virginia Tech,0.605
27,27,2000,Utah St,0.604
28,28,2000,Maryland,0.602
29,29,2000,UNC Greensboro,0.6
30,30,2000,Iowa St,0.6
31,31,2000,Marquette,0.599
32,32,2000,Louisville,0.593
33,33,2000,Temple,0.588
34,34,2000,St Mary's CA,0.5870000000000001
35,35,2000,Murray St,0.5820000000000001
36,36,2000,Syracuse,0.581
37,37,2000,New Mexico St,0.581
38,38,2000,Oklahoma,0.58
39,39,2000,Seton Hall,0.58
40,40,2000,Toledo,0.579
41,41,2000,Belmont,0.579
42,42,2000,Arizona St,0.578
43,43,2000,Minnesota,0.5770000000000001
44,44,2000,Yale,0.5770000000000001
45,45,2000,Oregon,0.575
46,46,2000,Georgia St,0.575
47,47,2000,Northeastern,0.574
48,48,2000,Davidson,0.5710000000000001
49,49,2000,Hofstra,0.57
50,50,2000,Harvard,0.569
51,51,2000,TCU,0.569
52,52,2000,Memphis,0.568
53,53,2000,St John's,0.5670000000000001
54,54,2000,Iowa,0.5670000000000001
55,55,2000,Alabama,0.5660000000000001
56,56,2000,Furman,0.5660000000000001
57,57,2000,Baylor,0.565
58,58,2000,Florida,0.565
59,59,2000,Utah Valley,0.564
60,60,2000,Clemson,0.563
61,61,2000,Creighton,0.562
62,62,2000,Old Dominion,0.562
63,63,2000,UC Irvine,0.561
64,64,2000,Vermont,0.561
65,65,2000,Mississippi,0.561
66,66,2000,BYU,0.56
67,67,2000,Tennessee St,0.5589999999999999
68,68,2000,Texas,0.5589999999999999
69,69,2000,Lipscomb,0.557
70,70,2000,Drake,0.557
71,71,2000,Wichita St,0.557
72,72,2000,Ohio St,0.555
73,73,2000,Dayton,0.5529999999999999
74,74,2000,Montana,0.551
75,75,2000,San Diego,0.551
76,76,2000,Xavier,0.551
77,77,2000,Ga Southern,0.551
78,78,2000,Colorado,0.551
79,79,2000,Bowling Green,0.551
80,80,2000,St Louis,0.551
81,81,2000,WKU,0.55
82,82,2000,Kent,0.55
83,83,2000,Liberty,0.5489999999999999
84,84,2000,San Diego St,0.5479999999999999
85,85,2000,Col Charleston,0.547
86,86,2000,San Francisco,0.547
87,87,2000,Colgate,0.547
88,88,2000,Providence,0.547
89,89,2000,Bucknell,0.545
90,90,2000,Georgetown,0.545
91,91,2000,Nebraska,0.545
92,92,2000,Southern Miss,0.5429999999999999
93,93,2000,N Kentucky,0.542
94,94,2000,Penn St,0.542
95,95,2000,Butler,0.542
96,96,2000,NC State,0.542
97,97,2000,Indiana,0.541
98,98,2000,South Carolina,0.539
99,99,2000,Marshall,0.539
100,100,2000,Radford,0.5379999999999999
101,101,2000,Arkansas,0.5379999999999999
102,102,2000,Fresno St,0.537
103,103,2000,Louisiana Tech,0.537
104,104,2000,UCLA,0.536
105,105,2000,Oregon St,0.536
106,106,2000,Tulsa,0.535
107,107,2000,Lehigh,0.535
108,108,2000,West Virginia,0.534
109,109,2000,Penn,0.5329999999999999
110,110,2000,Utah,0.532
111,111,2000,Stony Brook,0.532
112,112,2000,C Michigan,0.532
113,113,2000,Rhode Island,0.532
114,114,2000,Texas St,0.531
115,115,2000,Austin Peay,0.531
116,116,2000,Princeton,0.531
117,117,2000,Arizona,0.529
118,118,2000,Brown,0.529
119,119,2000,Oklahoma St,0.529
120,120,2000,Loyola MD,0.528
121,121,2000,Grand Canyon,0.528
122,122,2000,Jacksonville St,0.528
123,123,2000,St Bonaventure,0.526
124,124,2000,Texas A&M,0.525
125,125,2000,Abilene Chr,0.525
126,126,2000,NE Omaha,0.525
127,127,2000,S Dakota St,0.523
128,128,2000,Missouri,0.523
129,129,2000,Miami FL,0.522
130,130,2000,Loyola-Chicago,0.522
131,131,2000,S Illinois,0.52
132,132,2000,Gardner Webb,0.518
133,133,2000,NJIT,0.517
134,134,2000,South Florida,0.516
135,135,2000,E Michigan,0.515
136,136,2000,Connecticut,0.515
137,137,2000,SMU,0.514
138,138,2000,UT San Antonio,0.514
139,139,2000,Prairie View,0.513
140,140,2000,TX-Pan Am,0.513
141,141,2000,Stanford,0.512
142,142,2000,Sam Houston St,0.512
143,143,2000,Rutgers,0.512
144,144,2000,Lafayette,0.512
145,145,2000,UAB,0.511
146,146,2000,Wright St,0.511
147,147,2000,Northern Iowa,0.511
148,148,2000,Ohio,0.511
149,149,2000,Miami OH,0.509
150,150,2000,UT Arlington,0.509
151,151,2000,George Mason,0.508
152,152,2000,Akron,0.507
153,153,2000,Georgia Tech,0.506
154,154,2000,USC,0.505
155,155,2000,N Colorado,0.505
156,156,2000,Santa Barbara,0.504
157,157,2000,Bradley,0.504
158,158,2000,North Texas,0.503
159,159,2000,Cornell,0.503
160,160,2000,Florida Intl,0.503
161,161,2000,Winthrop,0.501
162,162,2000,N Illinois,0.501
163,163,2000,Hartford,0.5
164,164,2000,Boston College,0.5
165,165,2000,Duquesne,0.499
166,166,2000,DePaul,0.499
167,167,2000,Holy Cross,0.498
168,168,2000,North Florida,0.49700000000000005
169,169,2000,UNLV,0.49700000000000005
170,170,2000,Notre Dame,0.496
171,171,2000,ULM,0.496
172,172,2000,N Dakota St,0.495
173,173,2000,St Joseph's PA,0.495
174,174,2000,CS Fullerton,0.495
175,175,2000,Ball St,0.495
176,176,2000,Illinois,0.495
177,177,2000,Illinois St,0.495
178,178,2000,Pepperdine,0.495
179,179,2000,Wake Forest,0.494
180,180,2000,Campbell,0.494
181,181,2000,WI Green Bay,0.493
182,182,2000,St Francis PA,0.493
183,183,2000,Pittsburgh,0.493
184,184,2000,Missouri St,0.49200000000000005
185,185,2000,Pacific,0.491
186,186,2000,William & Mary,0.491
187,187,2000,FL Atlantic,0.491
188,188,2000,Indiana St,0.49
189,189,2000,Santa Clara,0.49
190,190,2000,UMBC,0.49
191,191,2000,Georgia,0.49
192,192,2000,Rider,0.488
193,193,2000,E Washington,0.48700000000000004
194,194,2000,TX Southern,0.48700000000000004
195,195,2000,F Dickinson,0.486
196,196,2000,CS Bakersfield,0.486
197,197,2000,Northwestern,0.485
198,198,2000,Iona,0.485
199,199,2000,Samford,0.485
200,200,2000,New Mexico,0.485
201,201,2000,Delaware,0.484
202,202,2000,Cal Baptist,0.484
203,203,2000,Seattle,0.484
204,204,2000,Weber St,0.48200000000000004
205,205,2000,Lamar,0.48200000000000004
206,206,2000,Coastal Car,0.48200000000000004
207,207,2000,Canisius,0.48100000000000004
208,208,2000,Norfolk St,0.479
209,209,2000,Siena,0.479
210,210,2000,Long Beach St,0.479
211,211,2000,New Orleans,0.475
212,212,2000,Navy,0.474
213,213,2000,Oakland,0.47200000000000003
214,214,2000,FL Gulf Coast,0.47200000000000003
215,215,2000,Boise St,0.469
216,216,2000,NC A&T,0.46799999999999997
217,217,2000,IPFW,0.46799999999999997
218,218,2000,Hawaii,0.46799999999999997
219,219,2000,IL Chicago,0.46799999999999997
220,220,2000,Monmouth NJ,0.467
221,221,2000,SE Louisiana,0.467
222,222,2000,Presbyterian,0.467
223,223,2000,Morehead St,0.467
224,224,2000,Vanderbilt,0.466
225,225,2000,Boston Univ,0.466
226,226,2000,High Point,0.466
227,227,2000,Air Force,0.466
228,228,2000,Robert Morris,0.465
229,229,2000,Valparaiso,0.46399999999999997
230,230,2000,Southern Utah,0.46399999999999997
231,231,2000,Colorado St,0.46399999999999997
232,232,2000,E Kentucky,0.46299999999999997
233,233,2000,St Francis NY,0.462
234,234,2000,Arkansas St,0.461
235,235,2000,Rice,0.461
236,236,2000,Drexel,0.46
237,237,2000,Hampton,0.46
238,238,2000,Charleston So,0.46
239,239,2000,Detroit,0.46
240,240,2000,Quinnipiac,0.45899999999999996
241,241,2000,Montana St,0.45899999999999996
242,242,2000,Citadel,0.45799999999999996
243,243,2000,American Univ,0.45799999999999996
244,244,2000,Army,0.45799999999999996
245,245,2000,IUPUI,0.45799999999999996
246,246,2000,MTSU,0.45799999999999996
247,247,2000,Richmond,0.457
248,248,2000,Missouri KC,0.457
249,249,2000,Brooklyn,0.457
250,250,2000,Troy,0.456
251,251,2000,MA Lowell,0.455
252,252,2000,Mercer,0.455
253,253,2000,Sacred Heart,0.455
254,254,2000,Chattanooga,0.45399999999999996
255,255,2000,South Alabama,0.45399999999999996
256,256,2000,California,0.452
257,257,2000,Portland St,0.452
258,258,2000,James Madison,0.452
259,259,2000,Columbia,0.452
260,260,2000,CS Sacramento,0.451
261,261,2000,Washington St,0.451
262,262,2000,UNC Wilmington,0.45
263,263,2000,G Washington,0.449
264,264,2000,Dartmouth,0.44799999999999995
265,265,2000,La Salle,0.44799999999999995
266,266,2000,Wagner,0.44799999999999995
267,267,2000,Massachusetts,0.445
268,268,2000,South Dakota,0.445
269,269,2000,E Illinois,0.444
270,270,2000,East Carolina,0.444
271,271,2000,Evansville,0.444
272,272,2000,Lafayette,0.444
273,273,2000,Appalachian St,0.44299999999999995
274,274,2000,Idaho St,0.442
275,275,2000,Elon,0.441
276,276,2000,Loyola MD,0.441
277,277,2000,NC Central,0.441
278,278,2000,Grambling,0.439
279,279,2000,TAM C. Christi,0.439
280,280,2000,CS Northridge,0.43799999999999994
281,281,2000,Cent Arkansas,0.436
282,282,2000,VMI,0.436
283,283,2000,North Alabama,0.436
284,284,2000,Ark Little Rock,0.436
285,285,2000,W Michigan,0.435
286,286,2000,Marist,0.435
287,287,2000,Central Conn,0.434
288,288,2000,UC Davis,0.434
289,289,2000,Albany NY,0.434
290,290,2000,Ark Pine Bluff,0.43200000000000005
291,291,2000,W Carolina,0.431
292,292,2000,TN Martin,0.43
293,293,2000,Florida A&M,0.43
294,294,2000,SF Austin,0.43
295,295,2000,Youngstown St,0.429
296,296,2000,Mt St Mary's,0.429
297,297,2000,Towson,0.429
298,298,2000,North Dakota,0.429
299,299,2000,Tulane,0.429
300,300,2000,Northern Arizona,0.429
301,301,2000,Howard,0.42700000000000005
302,302,2000,Oral Roberts,0.42700000000000005
303,303,2000,Houston Bap,0.42700000000000005
304,304,2000,Charlotte,0.426
305,305,2000,SE Missouri St,0.424
306,306,2000,Jacksonville,0.423
307,307,2000,Alabama St,0.42200000000000004
308,308,2000,Niagara,0.42200000000000004
309,309,2000,Binghamton,0.42200000000000004
310,310,2000,Tennessee St,0.42100000000000004
311,311,2000,Fordham,0.42100000000000004
312,312,2000,Nicholls St,0.42100000000000004
313,313,2000,Cleveland St,0.42
314,314,2000,Longwood,0.419
315,315,2000,Manhattan,0.419
316,316,2000,Tennessee Tech,0.414
317,317,2000,Bryant,0.413
318,318,2000,WI Milwaukee,0.41200000000000003
319,319,2000,Denver,0.41100000000000003
320,320,2000,St Peter's,0.41
321,321,2000,Jackson St,0.41
322,322,2000,Portland,0.408
323,323,2000,Bethune-Cookman,0.408
324,324,2000,Edwardsville,0.406
325,325,2000,UC Riverside,0.406
326,326,2000,Coppin St,0.406
327,327,2000,Wyoming,0.40399999999999997
328,328,2000,Fairfield,0.40299999999999997
329,329,2000,UTEP,0.4
330,330,2000,Northwestern LA,0.4
331,331,2000,Savannah St,0.4
332,332,2000,McNeese St,0.39799999999999996
333,333,2000,Kennesaw,0.39399999999999996
334,334,2000,W Illinois,0.392
335,335,2000,Maine,0.389
336,336,2000,Chicago St,0.386
337,337,2000,San Jose St,0.38
338,338,2000,Cal Poly SLO,0.374
339,339,2000,Stetson,0.373
340,340,2000,S Carolina St,0.373
341,341,2000,Morgan St,0.371
342,342,2000,Southern Univ,0.371
343,343,2000,Idaho,0.369
344,344,2000,Incarnate Word,0.369
345,345,2000,UNC Asheville,0.366
346,346,2000,Alcorn St,0.365
347,347,2000,MD E Shore,0.364
348,348,2000,New Hampshire,0.36
349,349,2000,MS Valley St,0.35600000000000004
350,350,2000,Delaware St,0.349
351,351,2000,SC Upstate,0.34700000000000003
352,352,2000,Alabama A&M,0.345
353,353,2001,Duke,0.67
354,354,2001,Kansas,0.657
355,355,2001,Virginia,0.655
356,356,2001,North Carolina,0.653
357,357,2001,Houston,0.648
358,358,2001,Michigan St,0.647
359,359,2001,Tennessee,0.645
360,360,2001,Gonzaga,0.644
361,361,2001,Kentucky,0.643
362,362,2001,Buffalo,0.6409999999999999
363,363,2001,Michigan,0.635
364,364,2001,Florida St,0.634
365,365,2001,Cincinnati,0.628
366,366,2001,LSU,0.626
367,367,2001,Purdue,0.62
368,368,2001,Villanova,0.62
369,369,2001,Kansas St,0.62
370,370,2001,Auburn,0.619
371,371,2001,Texas Tech,0.619
372,372,2001,Nevada,0.615
373,373,2001,Wofford,0.613
374,374,2001,Washington,0.609
375,375,2001,VA Commonwealth,0.609
376,376,2001,Mississippi St,0.608
377,377,2001,UCF,0.605
378,378,2001,Wisconsin,0.605
379,379,2001,Virginia Tech,0.605
380,380,2001,Utah St,0.604
381,381,2001,Maryland,0.602
382,382,2001,UNC Greensboro,0.6
383,383,2001,Iowa St,0.6
384,384,2001,Marquette,0.599
385,385,2001,Louisville,0.593
386,386,2001,Temple,0.588
387,387,2001,St Mary's CA,0.5870000000000001
388,388,2001,Murray St,0.5820000000000001
389,389,2001,Syracuse,0.581
390,390,2001,New Mexico St,0.581
391,391,2001,Oklahoma,0.58
392,392,2001,Seton Hall,0.58
393,393,2001,Toledo,0.579
394,394,2001,Belmont,0.579
395,395,2001,Arizona St,0.578
396,396,2001,Minnesota,0.5770000000000001
397,397,2001,Yale,0.5770000000000001
398,398,2001,Oregon,0.575
399,399,2001,Georgia St,0.575
400,400,2001,Northeastern,0.574
401,401,2001,Davidson,0.5710000000000001
402,402,2001,Hofstra,0.57
403,403,2001,Harvard,0.569
404,404,2001,TCU,0.569
405,405,2001,Memphis,0.568
406,406,2001,St John's,0.5670000000000001
407,407,2001,Iowa,0.5670000000000001
408,408,2001,Alabama,0.5660000000000001
409,409,2001,Furman,0.5660000000000001
410,410,2001,Baylor,0.565
411,411,2001,Florida,0.565
412,412,2001,Utah Valley,0.564
413,413,2001,Clemson,0.563
414,414,2001,Creighton,0.562
415,415,2001,Old Dominion,0.562
416,416,2001,UC Irvine,0.561
417,417,2001,Vermont,0.561
418,418,2001,Mississippi,0.561
419,419,2001,BYU,0.56
420,420,2001,Tennessee St,0.5589999999999999
421,421,2001,Texas,0.5589999999999999
422,422,2001,Lipscomb,0.557
423,423,2001,Drake,0.557
424,424,2001,Wichita St,0.557
425,425,2001,Ohio St,0.555
426,426,2001,Dayton,0.5529999999999999
427,427,2001,Montana,0.551
428,428,2001,San Diego,0.551
429,429,2001,Xavier,0.551
430,430,2001,Ga Southern,0.551
431,431,2001,Colorado,0.551
432,432,2001,Bowling Green,0.551
433,433,2001,St Louis,0.551
434,434,2001,WKU,0.55
435,435,2001,Kent,0.55
436,436,2001,Liberty,0.5489999999999999
437,437,2001,San Diego St,0.5479999999999999
438,438,2001,Col Charleston,0.547
439,439,2001,San Francisco,0.547
440,440,2001,Colgate,0.547
441,441,2001,Providence,0.547
442,442,2001,Bucknell,0.545
443,443,2001,Georgetown,0.545
444,444,2001,Nebraska,0.545
445,445,2001,Southern Miss,0.5429999999999999
446,446,2001,N Kentucky,0.542
447,447,2001,Penn St,0.542
448,448,2001,Butler,0.542
449,449,2001,NC State,0.542
450,450,2001,Indiana,0.541
451,451,2001,South Carolina,0.539
452,452,2001,Marshall,0.539
453,453,2001,Radford,0.5379999999999999
454,454,2001,Arkansas,0.5379999999999999
455,455,2001,Fresno St,0.537
456,456,2001,Louisiana Tech,0.537
457,457,2001,UCLA,0.536
458,458,2001,Oregon St,0.536
459,459,2001,Tulsa,0.535
460,460,2001,Lehigh,0.535
461,461,2001,West Virginia,0.534
462,462,2001,Penn,0.5329999999999999
463,463,2001,Utah,0.532
464,464,2001,Stony Brook,0.532
465,465,2001,C Michigan,0.532
466,466,2001,Rhode Island,0.532
467,467,2001,Texas St,0.531
468,468,2001,Austin Peay,0.531
469,469,2001,Princeton,0.531
470,470,2001,Arizona,0.529
471,471,2001,Brown,0.529
472,472,2001,Oklahoma St,0.529
473,473,2001,Loyola MD,0.528
474,474,2001,Grand Canyon,0.528
475,475,2001,Jacksonville St,0.528
476,476,2001,St Bonaventure,0.526
477,477,2001,Texas A&M,0.525
478,478,2001,Abilene Chr,0.525
479,479,2001,NE Omaha,0.525
480,480,2001,S Dakota St,0.523
481,481,2001,Missouri,0.523
482,482,2001,Miami FL,0.522
483,483,2001,Loyola-Chicago,0.522
484,484,2001,S Illinois,0.52
485,485,2001,Gardner Webb,0.518
486,486,2001,NJIT,0.517
487,487,2001,South Florida,0.516
488,488,2001,E Michigan,0.515
489,489,2001,Connecticut,0.515
490,490,2001,SMU,0.514
491,491,2001,UT San Antonio,0.514
492,492,2001,Prairie View,0.513
493,493,2001,TX-Pan Am,0.513
494,494,2001,Stanford,0.512
