,Season,TeamName,SOS
0,2000,Stanford,7.12
1,2000,Duke,8.88
2,2000,Michigan St,9.91
3,2000,Cincinnati,8.5
4,2000,Florida,8.51
5,2000,Temple,6.94
6,2000,Texas,9.61
7,2000,Oklahoma St,6.59
8,2000,Tulsa,2.42
9,2000,Illinois,9.6
10,2000,Indiana,10.22
11,2000,Oklahoma,6.63
12,2000,Iowa St,7.14
13,2000,Arizona,9.7
14,2000,Tennessee,8.12
15,2000,LSU,5.78
16,2000,Kentucky,12.71
17,2000,Kansas,9.79
18,2000,Maryland,9.44
19,2000,Syracuse,6.2
20,2000,Ohio State,6.55
21,2000,North Carolina,11.8
22,2000,Connecticut,7.58
23,2000,Purdue,9.56
24,2000,Wisconsin,12.5
25,2000,Gonzaga,4.64
26,2000,UCLA,10.11
27,2000,Louisville,8.76
28,2000,Oregon,8.53
29,2000,DePaul,7.83
30,2000,St John's,6.96
31,2000,Wake Forest,8.95
32,2000,USC,8.77
33,2000,Auburn,8.2
34,2000,Pepperdine,3.35
35,2000,NC State,7.49
36,2000,Vanderbilt,7.54
37,2000,Missouri,8.22
38,2000,Arkansas,7.76
39,2000,Virginia,6.22
40,2000,Butler,0.01
41,2000,Utah,4.36
42,2000,Arizona St,8.75
43,2000,Miami FL,5.39
44,2000,Charlotte,8.6
45,2000,Kent,2.21
46,2000,Seton Hall,5.11
47,2000,Penn St,8.82
48,2000,South Carolina,8.78
49,2000,Dayton,3.46
50,2000,UNLV,2.52
51,2000,California,8.62
52,2000,Notre Dame,6.38
53,2000,BYU,3.54
54,2000,St Bonaventure,5.29
55,2000,Xavier,3.42
56,2000,Fresno St,3.58
57,2000,St Louis,8.39
58,2000,Iowa,11.83
59,2000,Utah St,1.89
60,2000,Long Beach St,-0.87
61,2000,South Florida,3.92
62,2000,Colorado,6.33
63,2000,Creighton,1.64
64,2000,Colorado St,3.48
65,2000,New Mexico,4.18
66,2000,Mississippi,6.52
67,2000,Ball St,3.17
68,2000,Massachusetts,5.05
69,2000,SMU,1.39
70,2000,S Illinois,4.28
71,2000,Villanova,6.74
72,2000,Missouri St,4.07
73,2000,Ohio,3.53
74,2000,Alabama,7.62
75,2000,San Diego,0.45
76,2000,Marquette,6.83
77,2000,Mississippi St,5.29
78,2000,Wyoming,2.84
79,2000,Minnesota,9.62
80,2000,Oregon St,8.74
81,2000,Georgetown,5.78
82,2000,Rutgers,4.4
83,2000,Indiana St,3.22
84,2000,Memphis,5.64
85,2000,New Mexico St,2
86,2000,Georgia Tech,7
87,2000,San Francisco,0.67
88,2000,UTEP,3.23
89,2000,TCU,2.81
90,2000,Tulane,3.54
91,2000,Southern Miss,4.2
92,2000,St Joseph's  PA,5.72
93,2000,Michigan,9.27
94,2000,Bradley,3.88
95,2000,Hofstra,-6.03
96,2000,Georgia,8.71
97,2000,Hawaii,2.23
98,2000,Marshall,-0.16
99,2000,Miami OH,3.6
100,2000,Toledo,2.56
101,2000,G Washington,5.41
102,2000,Florida St,10
103,2000,SE Missouri St,-2.48
104,2000,Northern Arizona,1.37
105,2000,Boston College,5.07
106,2000,CS Northridge,0.41
107,2000,Penn,-2.89
108,2000,Pittsburgh,4.41
109,2000,Santa Clara,3.52
110,2000,West Virginia,5
111,2000,Detroit,0.14
112,2000,Akron,1.32
113,2000,Murray St,-2.39
114,2000,Alabama-Birmingham,4.94
115,2000,Bowling Green,0.79
116,2000,Texas Tech,5.69
117,2000,Samford,-5.8
118,2000,Cleveland St,-0.16
119,2000,Princeton,-2.93
120,2000,Virginia Tech,2.45
121,2000,Evansville,0.98
122,2000,Appalachian St,-3.75
123,2000,Washington,9.98
124,2000,Richmond,-1.55
125,2000,UNC Wilmington,-0.24
126,2000,Montana,0.47
127,2000,Louisiana,-1.58
128,2000,Navy,-8.17
129,2000,E Washington,1.48
130,2000,Baylor,4.59
131,2000,WI Milwaukee,1.67
132,2000,Weber St,0.46
133,2000,Houston,6.44
134,2000,Clemson,7.39
135,2000,Louisiana Tech,-4.09
136,2000,E Illinois,-1.99
137,2000,Fordham,2.82
138,2000,E Michigan,1.87
139,2000,Siena,-4.62
140,2000,Nebraska,6.83
141,2000,Providence,5.29
142,2000,UC Santa Barbara,0.16
143,2000,Col Charleston ,-7.04
144,2000,George Mason,-2.37
145,2000,Kansas St,8.32
146,2000,N Illinois,1.56
147,2000,San Jose St,3.79
148,2000,Austin Peay,-3.29
149,2000,Northern Iowa,2.51
150,2000,WI Green Bay,1.84
151,2000,Wichita St,1.92
152,2000,Boise St,0.51
153,2000,Central Conn,-9.55
154,2000,Lafayette,-8.07
155,2000,South Alabama,-3.15
156,2000,La Salle,3.1
157,2000,Tennessee Tech,-3.64
158,2000,Delaware,-7.75
159,2000,Portland St,-0.09
160,2000,Florida Intl,-2.07
161,2000,Sam Houston St,-5.44
162,2000,Drake,0.71
163,2000,Winthrop,-7.41
164,2000,Iona,-4.13
165,2000,Washington St,7.66
166,2000,ULM,-5.85
167,2000,Illinois St,2.72
168,2000,MTSU,-2.4
169,2000,James Madison,-4.55
170,2000,Davidson,-2.69
171,2000,Georgia St,-6.1
172,2000,Valparaiso,-3.71
173,2000,Idaho,1.53
174,2000,Maine,-10.06
175,2000,Southern Utah,-3.99
176,2000,Fairfield,-2.44
177,2000,Pacific,-0.6
178,2000,W Michigan,1.87
179,2000,UC Irvine,-0.77
180,2000,Old Dominion,-1.9
181,2000,IL Chicago,0.52
182,2000,Portland,1.92
183,2000,Texas A&M,5.47
184,2000,Manhattan,-6.94
185,2000,Montana St,0.73
186,2000,WKU,-1.45
187,2000,Missouri KC,-5.08
188,2000,Nevada,1.5
189,2000,Loyola-Chicago,-0.73
190,2000,UT San Antonio,-4.59
191,2000,Duquesne,2.5
192,2000,C Michigan,2.79
193,2000,UT Arlington,-5.86
194,2000,Arkansas St,-0.48
195,2000,Oakland,-1.32
196,2000,New Orleans,-3.06
197,2000,Northwestern,8.14
198,2000,VA Commonwealth,-1.8
199,2000,Air Force,2.58
200,2000,Wright St,-0.15
201,2000,Idaho State,1.18
202,2000,Bucknell,-6.76
203,2000,William & Mary,-0.92
204,2000,Cal Poly SLO,-0.11
205,2000,Robert Morris,-7.8
206,2000,East Carolina,-2.6
207,2000,Troy,-8.61
208,2000,Radford,-7.92
209,2000,Oral Roberts,-4.23
210,2000,St Francis NY,-7.98
211,2000,American Univ,-3.42
212,2000,Lamar,-3.84
213,2000,Marist,-6.54
214,2000,Furman,-5.15
215,2000,UCF,-4.85
216,2000,Niagara,-5.38
217,2000,Rider,-6.7
218,2000,Jacksonville St,-8.45
219,2000,CS Sacramento,0.55
220,2000,Saint Mary's CA,2.19
221,2000,Texas St,-5.52
222,2000,Wofford,-2.89
223,2000,UNC Greensboro ,-6.15
224,2000,Morehead St,-3.15
225,2000,F Dickinson,-7.97
226,2000,Northwestern LA,-6.06
227,2000,Ga Southern,-5.45
228,2000,Chattanooga,-4.64
229,2000,Youngstown St,-3.66
230,2000,TN Martin,-0.02
231,2000,UTRGV,-0.19
232,2000,UMBC,-7.36
233,2000,Hampton,-11.61
234,2000,Rhode Island,5.73
235,2000,ETSU,-4.97
236,2000,Bethune-Cookman,-9.63
237,2000,Canisius,-3.81
238,2000,Wagner,-9.72
239,2000,San Diego St,4.54
240,2000,CS Fullerton,-1.21
241,2000,Rice,3.26
242,2000,W Illinois,-2.68
243,2000,Vermont,-8.25
244,2000,Centenary,-1.61
245,2000,Alcorn St,-11.6
246,2000,IUPUI,-3.13
247,2000,Drexel,-7.13
248,2000,Nicholls St,-4.5
249,2000,Quinnipiac,-9.2
250,2000,Monmouth NJ,-7.51
251,2000,Towson,-9.1
252,2000,S Carolina St,-9.38
253,2000,W Carolina,-4.94
254,2000,Chicago St,-3.05
255,2000,Coppin St,-9.36
256,2000,Mercer,-5.77
257,2000,North Texas,2.07
258,2000,Jacksonville,-7.95
259,2000,Belmont,-1.39
260,2000,Colgate,-7.85
261,2000,Holy Cross,-7.96
262,2000,UNC Asheville,-3.66
263,2000,St Francis PA,-8.14
264,2000,Coastal Car,-6.64
265,2000,Columbia,-8.25
266,2000,NC A&T,-12.15
267,2000,Stetson,-8.23
268,2000,Elon,-6.37
269,2000,Ark Little Rock,-2.77
270,2000,Denver,-1.14
271,2000,Jackson St,-10.38
272,2000,Liberty,-8.41
273,2000,Alabama A&M,-12.07
274,2000,TX Southern,-13.45
275,2000,Harvard,-9.75
276,2000,SF Austin,-4.97
277,2000,SE Louisiana,-5.16
278,2000,Campbell,-6.08
279,2000,Tennessee St,-2.23
280,2000,Cornell,-9.13
281,2000,Buffalo,1.46
282,2000,Southern Univ,-14.41
283,2000,Boston Univ,-6.51
284,2000,St Peter's,-5.31
285,2000,E Kentucky,-1.7
286,2000,Northeastern,-8.41
287,2000,Hartford,-7.42
288,2000,Dartmouth,-8.49
289,2000,VMI,-2.7
290,2000,Mt St Mary's,-6.18
291,2000,Brown,-8.95
292,2000,McNeese St,-4.43
293,2000,High Point,-6.07
294,2000,Lehigh,-6.25
295,2000,Loyola MD,-5.94
296,2000,Albany NY,-9.59
297,2000,Citadel,-5.67
298,2000,Yale,-8.47
299,2000,Norfolk St,-11.37
300,2000,Long Island,-7.94
301,2000,Loy Marymount,3.24
302,2000,Alabama St,-12.35
303,2000,MS Valley St,-8.51
304,2000,Stony Brook,-2.39
305,2000,MD E Shore,-10.9
306,2000,Delaware St,-11.26
307,2000,Charleston So,-7.1
308,2000,Army,-6.43
309,2000,Florida A&M,-9.43
310,2000,Morgan St,-8.97
311,2000,Prairie View,-11.14
312,2000,Sacred Heart,-6.77
313,2000,FL Atlantic,-3.26
314,2000,Ark Pine Bluff,-10.05
315,2000,New Hampshire,-6.09
316,2000,Howard,-6.65
317,2000,Grambling,-9.16
318,2001,Duke,11.98
319,2001,Arizona,12.56
320,2001,Stanford,9.86
321,2001,Michigan St,9.54
322,2001,Maryland,10.99
323,2001,Illinois,11.38
324,2001,Florida,7.51
325,2001,Wake Forest,10.5
326,2001,Kentucky,11.06
327,2001,Kansas,9.03
328,2001,North Carolina,11.77
329,2001,Virginia,8.72
330,2001,Boston College,5.18
331,2001,Indiana,11.05
332,2001,UCLA,12.06
333,2001,Arkansas,6.16
334,2001,USC,10.83
